model,sensitive_attr,cv_index,outcome,accuracy,0.precision,0.recall,0.f1-score,1.precision,1.recall,1.f1-score,macro avg.precision,macro avg.recall,macro avg.f1-score,weighted avg.precision,weighted avg.recall,weighted avg.f1-score
logistic,none,1,h1n1_vaccine,0.8365780606514414,0.8606060606060606,0.9455410225921522,0.9010764872521246,0.682825484764543,0.4335971855760774,0.5303926842388381,0.7717157726853018,0.6895691040841148,0.7157345857454813,0.822766952644285,0.8365780606514414,0.8221795415340214
dtree,none,1,h1n1_vaccine,0.7873455634593786,0.8297872340425532,0.918192627824019,0.8717543463535786,0.5007256894049347,0.3034300791556728,0.37787513691128144,0.665256461723744,0.6108113534898459,0.62481474163243,0.759749237739114,0.7873455634593786,0.7666362892334192
adaboost,none,1,h1n1_vaccine,0.8315237738674653,0.8562190127182583,0.944589774078478,0.8982360922659431,0.6685633001422475,0.4133685136323659,0.5108695652173912,0.7623911564302529,0.6789791438554219,0.7045528287416671,0.816278064534259,0.8315237738674653,0.8157883683321723
dtree_untuned,none,1,h1n1_vaccine,0.7454137027330587,0.8438481991781485,0.8302021403091557,0.8369695516662671,0.4074688796680498,0.4318381706244503,0.4192997438087105,0.6256585394230991,0.631020155466803,0.6281346477374887,0.750968512490956,0.7454137027330587,0.748072027979625
svc,none,1,h1n1_vaccine,0.8318981654810932,0.8593783960008694,0.9403091557669441,0.8980240744946627,0.6612685560053981,0.4309586631486368,0.5218317358892439,0.7603234760031338,0.6856339094577905,0.7099279051919534,0.817212374272144,0.8318981654810932,0.8179546830692862
logistic,none,1,seasonal_vaccine,0.7804193186072632,0.7857629427792916,0.8091897579796563,0.7973043027475377,0.7738985868661679,0.7474909674829385,0.7604655911782725,0.7798307648227297,0.7783403627312975,0.7788849469629051,0.7802305372046769,0.7804193186072632,0.78012623638306
dtree,none,1,seasonal_vaccine,0.7111568700861101,0.7202020202020202,0.7502630655910207,0.7349252705720666,0.6998313659359191,0.6663990365315134,0.6827061484680239,0.7100166930689696,0.708331051061267,0.7088157095200452,0.7107030872598903,0.7111568700861101,0.7105752456448539
adaboost,none,1,seasonal_vaccine,0.7830400599026581,0.7871690427698574,0.8133988074359874,0.8000690012075212,0.7779632721202003,0.7482938578883982,0.7628401882545529,0.7825661574450289,0.7808463326621928,0.7814545947310371,0.7828763481445681,0.7830400599026581,0.7827090287129792
dtree_untuned,none,1,seasonal_vaccine,0.6825159116435792,0.7037037037037037,0.6997544721150474,0.7017235314808301,0.6585560430793778,0.662786029706945,0.6606642657062826,0.6811298733915407,0.6812702509109962,0.6811938985935564,0.6826511348876805,0.6825159116435792,0.6825774006226502
svc,none,1,seasonal_vaccine,0.7777985773118682,0.7816519972918077,0.8098912662223781,0.7955211024978467,0.7730318257956449,0.7410678442392613,0.7567124410739906,0.7773419115437263,0.7754795552308197,0.7761167717859186,0.777632370336184,0.7777985773118682,0.777424439149508
logistic,none,2,h1n1_vaccine,0.8397303875678712,0.8649000868809731,0.9444971537001897,0.9029478458049888,0.6824966078697422,0.4471111111111111,0.5402792696025779,0.7736983473753576,0.6958041324056504,0.7216135577037833,0.8264795825020862,0.8397303875678712,0.8265572544873119
dtree,none,2,h1n1_vaccine,0.7989140610372589,0.8365467009425879,0.9262333965844403,0.8791085096803242,0.537890044576523,0.3217777777777778,0.4026696329254727,0.6872183727595554,0.624005587181109,0.6408890713028984,0.7736392419626548,0.7989140610372589,0.778753943803296
adaboost,none,2,h1n1_vaccine,0.8260625351057854,0.8625634237811604,0.9274193548387096,0.8938164361641329,0.6212871287128713,0.44622222222222224,0.5193998965338852,0.7419252762470159,0.6868207885304659,0.706608166349009,0.811742260712105,0.8260625351057854,0.8149513159461907
